gloss1,gloss2,video1,video2,dtw_distance
My,Train Station,../all_outputs/output_ssl_small/My/3-2-w03020221216124641.mp4_1.pkl,../all_outputs/output_include/Places/Train Station/MVI_3446.pkl,123.79157777195095
Mother,Reporter,../all_outputs/output_ssl_small/Mother/4-3-w00420221216120034.mp4_1.pkl,../all_outputs/output_include/Jobs/Reporter/MVI_4788.pkl,123.81221739609916
How,Soldier,../all_outputs/output_ssl_small/How/2-5-w04820221110110030.mp4_1.pkl,../all_outputs/output_include/Jobs/Soldier/MVI_5351.pkl,123.81415823756106
Big,Laptop,../all_outputs/output_ssl_small/Big/1-1-w01020221103111725.mp4_1.pkl,../all_outputs/output_include/Electronics/Laptop/MVI_4974.pkl,123.8247177926672
Ten_People,cold,../all_outputs/output_ssl_small/Ten_People/1-1-w02020221103121410.mp4_1.pkl,../all_outputs/output_include/Adjectives/cold/MVI_5220.pkl,123.82548302290053
Yes,Neighbour,../all_outputs/output_ssl_small/Yes/1-1-w06320221103120755.mp4_1.pkl,../all_outputs/output_include/People/Neighbour/MVI_5277.pkl,123.84542028774898
Make,T-Shirt,../all_outputs/output_ssl_small/Make/1-5-w03820221103113520.mp4_1.pkl,../all_outputs/output_include/Clothes/T-Shirt/MVI_3704.pkl,123.84988156740968
Tuesday,Religion,../all_outputs/output_ssl_small/Tuesday/2-1-w02720221110103149.mp4_1.pkl,../all_outputs/output_include/Society/Religion/MVI_4799.pkl,123.85921336850274
You,Book,../all_outputs/output_ssl_small/You/4-4-w00220221216115823.mp4_1.pkl,../all_outputs/output_include/Home/Book/MVI_4915.pkl,123.88243681059281
Read,Dog,../all_outputs/output_ssl_small/Read/4-2-w04620221216133130.mp4_1.pkl,../all_outputs/output_include/Animals/Dog/MVI_2979.pkl,123.89683162987785
