Model,Accuracy,Accuracy_Fixed_Testing,F1,F1_Fixed_Testing,Epochs,Epochs_Fixed_Testing,Base_Model_Class,FT/Direct_Classes,FT/T_Instance_per_class,Model_Type,Overlapping
80 Class ISL Base Model Finetuned with 48 Class SSL- 2 Instance Per Class (5 runs avg),0.5435 (±0.0109),0.5327 (±0.0204),0.5340 (±0.0109),0.5225 (±0.0250),85.6000 (±15.4997),76.0000 (±14.2548),80,48,2,FINETUNED,No
80 Class ISL Base Model  (Overlapping) Finetuned with 48 Class SSL- 2 Instance Per Class (5 runs avg),0.4657 (±0.0206),0.4649 (±0.0256),0.4531 (±0.0218),0.4558 (±0.0254),78.8000 (±5.6356),90.4000 (±13.6176),80,48,2,FINETUNED,Yes
80 Class ISL Base Model  (Movement Overlapping) Finetuned with 48 Class SSL- 2 Instance Per Class (5 runs avg),,0.4476 (±0.0429),,0.4361 (±0.0498),,87.6000 (±23.0963),80,48,2,FINETUNED,Movement
64 Class SSL- 6 Instance Per Class (5 runs avg),0.7875 (±0.0218),0.7679 (±0.0156),0.7828 (±0.0240),0.7634 (±0.0148),169.8000 (±17.0106),152.6000 (±17.5909),,64,6,DIRECT,
64 Class SSL- 4 Instance Per Class (5 runs avg),0.6691 (±0.0294),0.6687 (±0.0239),0.6621 (±0.0292),0.6636 (±0.0241),162.8000 (±9.5373),174.2000 (±15.0386),,64,4,DIRECT,
64 Class SSL- 3 Instance Per Class (5 runs avg),0.5382 (±0.0293),0.5277 (±0.0238),0.5318 (±0.0298),0.5237 (±0.0213),199.2000 (±22.7807),185.8000 (±11.1068),,64,3,DIRECT,
64 Class SSL- 2 Instance Per Class (5 runs avg),0.3160 (±0.0494),0.3241 (±0.0405),0.2937 (±0.0511),0.3166 (±0.0405),120.0000 (±17.8885),168.2000 (±21.8211),,64,2,DIRECT,
48 Class SSL- 6 Instance Per Class (5 runs avg),0.7708 (±0.0275),0.7970 (±0.0167),0.7665 (±0.0277),0.7897 (±0.0166),153.0000 (±14.4637),155.6000 (±16.7404),,48,6,DIRECT,
48 Class SSL- 4 Instance Per Class (5 runs avg),0.6276 (±0.0476),0.6369 (±0.0178),0.6234 (±0.0488),0.6322 (±0.0199),143.0000 (±23.2637),165.2000 (±16.2284),,48,4,DIRECT,
48 Class SSL- 3 Instance Per Class (5 runs avg),0.5363 (±0.1143),0.5375 (±0.0229),0.5201 (±0.1234),0.5397 (±0.0207),175.2000 (±45.7795),177.6000 (±18.8637),,48,3,DIRECT,
48 Class SSL- 2 Instance Per Class (5 runs avg),0.3407 (±0.0857),0.2577 (±0.1129),0.3200 (±0.0914),0.2353 (±0.1218),124.4000 (±52.5798),110.8000 (±60.9898),,48,2,DIRECT,
